Count,Name,Edition,Card Number,Language,Foil,PreRelease
1,Encrust,Magic 2015 Core Set,53,English,,
1,Endless Sands,Hour of Devastation,176,English,,
1,Enduring Victory,Mystery Booster,93,English,,
4,Energy Tap,Fourth Edition,69,English,,
4,Enforcer Griffin,War of the Spark,11,English,,
1,Engulf the Shore,Duel Decks: Merfolk vs. Goblins,5,English,,
2,Enhanced Surveillance,Guilds of Ravnica,40,English,,
1,Enigma Drake,Amonkhet,198,English,,
1,Enigmatic Incarnation,Theros Beyond Death,215,English,,
1,Enlarge,Iconic Masters,162,English,,
1,Enlightened Ascetic,Magic Origins,12,English,,
1,Enshrouding Mist,Magic Origins,13,English,,
1,Enter the God-Eternals,War of the Spark,196,English,,
1,Enter the Unknown,Rivals of Ixalan,128,English,,
1,Enthralling Hold,Core Set 2021,49,English,,
2,Enthusiastic Study,Strixhaven: School of Mages,99,English,,
1,Ephara's Radiance,Born of the Gods,9,English,,
1,Epic Confrontation,Masters 25,170,English,,
1,Epic Downfall,Throne of Eldraine,85,English,,
1,Epicure of Blood,Mystery Booster,646,English,,
4,Epicure of Blood,Core Set 2019,95,English,,
4,Epicure of Blood,Core Set 2020,99,English,,
1,Era of Innovation,Kaladesh,45,English,,
1,Erebos's Emissary,Theros,86,English,,
1,Erebos's Intervention,Theros Beyond Death,94,English,,
3,Erg Raiders,Masters 25,90,English,,
4,Erg Raiders,Revised Edition,17,English,,
2,Erg Raiders,Fourth Edition,19,English,,
1,Erhnam Djinn,Chronicles,36,English,,
1,Eron the Relentless,Homelands,93,English,,
1,Erosion,The Dark,25,English,,
2,Erosion,Fourth Edition,70,English,,
2,Erratic Cyclops,Guilds of Ravnica,98,English,,
2,Erstwhile Trooper,Guilds of Ravnica,169,English,,
1,Escape Protocol,Ikoria: Lair of Behemoths,48,English,,
2,Essence Capture,Ravnica Allegiance,37,English,,
1,Essence Filter,Ice Age,121,English,,
1,Essence Flare,Ice Age,69,English,,
2,Essence Infusion,Strixhaven: School of Mages,69,English,,
2,Essence Scatter,Duel Decks: Merfolk vs. Goblins,6,English,,
1,Essence Scatter,Magic 2014 Core Set,55,English,,
1,Essence Scatter,Amonkhet,52,English,,
4,Essence Scatter,Core Set 2019,54,English,,
4,Essence Scatter,Ikoria: Lair of Behemoths,49,English,,
2,Essence Symbiote,Ikoria: Lair of Behemoths,149,English,,
1,Essence Vortex,Ice Age,365,English,,
2,Estwald Shieldbasher,Innistrad: Crimson Vow,11,English,,
1,Eternal of Harsh Truths,Hour of Devastation,34,English,,
1,Eternal Taskmaster,War of the Spark,90,English,,
3,Eternal Warrior,Fourth Edition,208,English,,
1,Eureka Moment,Strixhaven: School of Mages,184,English,,
1,Everdawn Champion,Rivals of Ixalan,6,English,,
1,Evil Presence,Revised Edition,18,English,,
4,Eviscerate,Dominaria,91,English,,
1,Evolution Sage,War of the Spark,159,English,,
1,Evolving Wilds,Magic Origins,246,English,,
1,Evolving Wilds,Battle for Zendikar,236,English,,
4,Evolving Wilds,Rivals of Ixalan,186,English,,
2,Evolving Wilds,Core Set 2020,246,English,,
2,Evolving Wilds,Ikoria: Lair of Behemoths,247,English,,
1,Evolving Wilds,Adventures in the Forgotten Realms,256,English,true,
1,Evolving Wilds,Innistrad: Midnight Hunt,261,English,,
1,Evolving Wilds,Innistrad: Crimson Vow,263,English,,
2,"Evra, Halcyon Witness",Dominaria,16,English,,
1,"Exava, Rakdos Blood Witch",Dragon's Maze,69,English,,
1,Excavation Elephant,Dominaria,17,English,true,
3,Excavation Elephant,Dominaria,17,English,,
1,Excavation Mole,Ikoria: Lair of Behemoths,150,English,,
3,Exclusion Mage,Core Set 2019,55,English,,
1,Excoriate,Mystery Booster,99,English,,
1,Excoriate,Born of the Gods,10,English,,
1,Executioner's Hood,Dark Ascension,148,English,,
1,Exhilarating Elocution,Strixhaven: School of Mages,185,English,true,
2,Exhilarating Elocution,Strixhaven: School of Mages,185,English,,
1,Expanded Anatomy,Strixhaven: School of Mages,2,English,,
1,Expansion // Explosion,Guilds of Ravnica,224,English,,
1,Expedite,Oath of the Gatewatch,108,English,,
1,Expedition Diviner,Zendikar Rising,57,English,,
1,Expedition Healer,Zendikar Rising,13,English,,
1,Expedition Raptor,Oath of the Gatewatch,18,English,,
2,Expedition Skulker,Zendikar Rising,101,English,,
4,Explosive Apparatus,Core Set 2019,233,English,,
1,Explosive Impact,Return to Ravnica,94,English,,
4,Expose to Daylight,Ravnica Allegiance,8,English,,
1,Extremely Slow Zombie,Unstable,54,English,,
1,Exuberant Wolfbear,Ikoria: Lair of Behemoths,151,English,,
4,Exultant Skymarcher,Rivals of Ixalan,7,English,,
4,Eye Collector,Throne of Eldraine,86,English,,
2,Eyeblight Assassin,Magic Origins,95,English,,
1,Eyeless Watcher,Battle for Zendikar,166,English,,
2,Eyes Everywhere,Ravnica Allegiance,38,English,,
1,Eyes in the Skies,Modern Masters 2017 Edition,5,English,,
3,Eyes of the Beholder,Adventures in the Forgotten Realms,101,English,,
2,Facet Reader,Ikoria: Lair of Behemoths,50,English,,
1,Fading Hope,Innistrad: Midnight Hunt,51,English,,
1,Faeburrow Elder,Throne of Eldraine,190,English,,
4,Faerie Duelist,Ravnica Allegiance,39,English,,
1,Faerie Guidemother // Gift of the Fae,Throne of Eldraine,11,English,,
1,Faerie Mechanist,Mystery Booster,373,English,,
2,Faerie Miscreant,Magic Origins,57,English,,
1,Faerie Noble,Homelands,57,English,,
1,Faerie Spy,Extras: Unstable,4,English,true,
3,Faerie Vandal,Throne of Eldraine,45,English,,
4,Failed Inspection,Kaladesh,47,English,,
1,Faith of the Devoted,Amonkhet,90,English,,
2,Faithful Mending,Innistrad: Midnight Hunt,221,English,,
2,Falcon Abomination,Innistrad: Midnight Hunt,52,English,,
1,Falconer Adept,Core Set 2021,18,English,,
1,Falkenrath Perforator,Innistrad: Midnight Hunt,136,English,,
2,Fall of the Impostor,Kaldheim,208,English,,
2,Fallen Angel,Chronicles,4,English,,
1,Famished Foragers,Innistrad: Midnight Hunt,138,English,,
2,Famished Paladin,Rivals of Ixalan,8,English,,
2,Fan Bearer,Amonkhet,12,English,,
4,Fanatical Firebrand,Rivals of Ixalan,101,English,,
1,Fangblade Brigand // Fangblade Eviscerator,Innistrad: Midnight Hunt,139,English,,
1,Far // Away,Dragon's Maze,127,English,,
2,Farideh's Fireball,Adventures in the Forgotten Realms,142,English,,
5,Farrel's Mantle,Fallen Empires,138,English,,
2,Farrel's Zealot,Fallen Empires,139,English,,
1,Farrel's Zealot,Fallen Empires,141,English,,
2,Farrelite Priest,Fallen Empires,137,English,,
3,Farsight Adept,Zendikar Rising,14,English,,
1,Farsight Adept,Zendikar Rising,14,English,true,
2,Fatal Fumes,Dragon's Maze,24,English,,
4,Fathom Fleet Boarder,Rivals of Ixalan,71,English,,
4,Fathom Fleet Cutthroat,Ixalan,107,English,,
2,Fathom Fleet Cutthroat,Core Set 2020,100,English,,
4,Fathom Fleet Firebrand,Ixalan,142,English,,
2,Fathom Seer,Masters 25,56,English,,
2,Favored of Iroas,Theros Beyond Death,15,English,,
2,Fear,Revised Edition,19,English,,
3,Fear,Fourth Edition,21,English,,
1,Fear,Ice Age,12,English,,
2,Fear of Death,Innistrad: Crimson Vow,59,English,,
4,Fearless Halberdier,Guilds of Ravnica,100,English,,
1,Fearless Pup,Kaldheim,136,English,,
1,Feast of the Unicorn,Homelands,9,English,,
2,Feast of the Unicorn,Homelands,10,English,,
1,Feat of Resistance,Core Set 2021,19,English,,
2,Feed the Serpent,Kaldheim,95,English,,
1,Feed the Swarm,Zendikar Rising,102,English,,
1,Feedback,Revised Edition,58,English,,
1,Feedback,Fourth Edition,71,English,,
2,Feign Death,Adventures in the Forgotten Realms,103,English,,
1,Feldon's Cane,Chronicles,77,English,,
1,Fell Specter,Core Set 2019,96,English,,
1,Fell Stinger,Innistrad: Crimson Vow,112,English,,
3,Fell the Pheasant,Throne of Eldraine,153,English,,
2,Fencing Ace,Masters 25,13,English,,
4,Feral Abomination,Dominaria,92,English,,
2,Feral Abomination,Core Set 2020,101,English,,
1,Feral Animist,Dragon's Maze,70,English,,
1,Feral Invocation,Theros,158,English,,
4,Feral Maaka,Ravnica Allegiance,100,English,,
4,Feral Prowler,Hour of Devastation,115,English,,
2,Feral Thallid,Fallen Empires,78,English,,
3,Ferocious Pup,Core Set 2020,171,English,,
1,Ferocious Tigorilla,Ikoria: Lair of Behemoths,115,English,,
1,Ferocious Zheng,Mystery Booster,1210,English,,
2,Fertile Thicket,Battle for Zendikar,237,English,,
1,Fertilid,Ikoria: Lair of Behemoths,152,English,,
1,Fervent Cathar,Avacyn Restored,135,English,,
4,Fervent Strike,Dominaria,117,English,,
1,Festering Mummy,Amonkhet,91,English,,
4,Festering Newt,Iconic Masters,90,English,,
1,Festering Newt,Magic 2014 Core Set,98,English,,
1,Festival Crasher,Innistrad: Midnight Hunt,140,English,,
1,Festive Funeral,Throne of Eldraine,87,English,,
2,Fetid Imp,Magic Origins,97,English,,
1,Fetid Imp,Core Set 2021,98,English,,
1,Fetid Pools,Amonkhet,243,English,,
4,Field Creeper,Core Set 2019,234,English,,
1,Field of Ruin,Ixalan,254,English,,
1,Field of Ruin,Theros Beyond Death,242,English,,
1,Field of Ruin,Innistrad: Midnight Hunt,262,English,,
2,Field Trip,Strixhaven: School of Mages,131,English,,
1,Fiend Binder,Eldritch Moon,26,English,,
1,Fierce Empath,Core Set 2021,181,English,,
1,Fierce Invocation,Fate Reforged,98,English,,
4,Fierce Retribution,Innistrad: Crimson Vow,13,English,,
2,Fierce Witchstalker,Throne of Eldraine,154,English,,
1,Fiery Cannonade,Ixalan,143,English,,
1,Fiery Fall,Conspiracy: Take the Crown,156,English,,
1,Fiery Finish,Core Set 2019,140,English,,
1,Fiery Impulse,Magic Origins,145,English,,
4,Fiery Intervention,Dominaria,118,English,,
2,Fifty Feet of Rope,Adventures in the Forgotten Realms,244,English,,
1,Fight with Fire,Dominaria,119,English,,
1,Fighter Class,Adventures in the Forgotten Realms,222,English,,
1,Fill with Fright,Mystery Booster,661,English,,
2,Final Death,Theros Beyond Death,95,English,,
1,Final Flare,Theros Beyond Death,134,English,,
5,Final Parting,Dominaria,93,English,,
4,Final Payment,Ravnica Allegiance,171,English,,
4,Final Reward,Amonkhet,92,English,,
1,Find // Finality,Guilds of Ravnica,225,English,,
2,"Finders, Keepers",Unstable,55,English,,
1,Finishing Blow,Core Set 2021,99,English,,
1,Fire // Ice,Mystery Booster,1538,English,,
1,Fire Elemental,Revised Edition,148,English,,
1,Fire Elemental,Fourth Edition,209,English,,
1,Fire Elemental,Magic 2013,130,English,,
4,Fire Elemental,Dominaria,120,English,,
4,Fire Elemental,Core Set 2019,141,English,,
2,Fire Elemental,Core Set 2020,138,English,,
4,Fire Prophecy,Ikoria: Lair of Behemoths,116,English,,
4,Fire Shrine Keeper,Ixalan,144,English,,
4,Fire Urchin,Guilds of Ravnica,101,English,,
4,Fireball,Revised Edition,149,English,,
4,Fireball,Fourth Edition,210,English,,
1,Fireblade Artist,Ravnica Allegiance,172,English,,
1,Fireborn Knight,Throne of Eldraine,210,English,,
4,Firebrand Archer,Hour of Devastation,92,English,,
1,Firebreathing,Unlimited Edition,151,English,,
3,Firebreathing,Revised Edition,150,English,,
3,Firebreathing,Fourth Edition,211,English,,
4,Firecannon Blast,Ixalan,145,English,,
1,Firefiend Elemental,Magic Origins,146,English,,
4,Fireforger's Puzzleknot,Kaladesh,213,English,,
1,Firemantle Mage,Battle for Zendikar,145,English,,
2,Firesong and Sunspeaker,Dominaria,280,English,true,
1,First Day of Class,Strixhaven: School of Mages,102,English,,
4,Fishliver Oil,Chronicles,20,English,,
1,Fissure,Fourth Edition,212,English,,
3,Fissure Wizard,Zendikar Rising,140,English,,
1,Fissure Wizard,Zendikar Rising,140,English,true,
1,Flame Sweep,Core Set 2020,139,English,,
1,Flame-Blessed Bolt,Innistrad: Crimson Vow,158,English,,
1,Flamescroll Celebrant // Revel in Silence,Strixhaven: School of Mages,150,English,true,true
1,Flamespeaker's Will,Journey into Nyx,95,English,,
2,Flare of Faith,Innistrad: Midnight Hunt,19,English,,
4,Flash Flood,Chronicles,21,English,,
1,Flash Flood,Legends,57,English,,
1,Flashfires,Revised Edition,151,English,,
1,Flashfreeze,Modern Masters 2015 Edition,45,English,,
2,Flayer Drone,Oath of the Gatewatch,148,English,,
1,Fleshtaker,Innistrad: Midnight Hunt,222,English,,
2,Flicker of Fate,Theros Beyond Death,16,English,,
4,Flight,Revised Edition,59,English,,
1,Flight,Fourth Edition,72,English,,
1,Flight of Equenauts,Guilds of Ravnica,11,English,,
2,Fling,Amonkhet,132,English,,
2,Fling,Throne of Eldraine,126,English,,
2,Flip the Switch,Innistrad: Midnight Hunt,54,English,,
2,Flood,Fourth Edition,73,English,,
2,Flourishing Fox,Ikoria: Lair of Behemoths,13,English,,
3,Flourishing Hunter,Innistrad: Crimson Vow,199,English,,
1,Flower // Flourish,Guilds of Ravnica,226,English,,
1,Flummoxed Cyclops,Theros Beyond Death,135,English,,
1,Flunk,Strixhaven: School of Mages,71,English,,
2,Flux Channeler,War of the Spark,52,English,,
2,Flycatcher Giraffid,Ikoria: Lair of Behemoths,153,English,,
1,Flying Carpet,Fourth Edition,338,English,,
3,Fog,Revised Edition,102,English,,
2,Fog,Fourth Edition,128,English,,
1,Fog,Magic 2014 Core Set,171,English,,
1,Fogwalker,Eldritch Moon,60,English,,
1,true,Mystery Booster,384,English,,
3,Folk of An-Havva,Homelands,58,English,,
4,Folk of An-Havva,Homelands,59,English,,
2,Folk of the Pines,Ice Age,123,English,,
1,Font of Agonies,Ravnica Allegiance,74,English,,
1,Footfall Crater,Ikoria: Lair of Behemoths,118,English,true,
4,Footlight Fiend,Ravnica Allegiance,216,English,,
1,Forbidding Spirit,Ravnica Allegiance,9,English,,
1,Forbidding Spirit,Ravnica Allegiance,9,English,true,
1,Force of Nature,Revised Edition,103,English,,
2,Forced Landing,War of the Spark,161,English,,
1,Foreboding Fruit,Throne of Eldraine,88,English,,
1,Forerunner of the Empire,Rivals of Ixalan,102,English,,
2,Forerunner of the Heralds,Rivals of Ixalan,129,English,,
2,Forerunner of the Legion,Rivals of Ixalan,9,English,,
1,Forest,Limited Edition Alpha,280,English,,
1,Forest,Unlimited Edition,280,English,,
4,Forest,Revised Edition,284,English,,
4,Forest,Revised Edition,285,English,,
4,Forest,Revised Edition,286,English,,
2,Forest,Fourth Edition,175,English,,
1,Forest,Fourth Edition,176,English,,
1,Forest,Fourth Edition,177,English,,
2,Forest,Return to Ravnica,270,English,,
1,Forest,Return to Ravnica,271,English,,
2,Forest,Return to Ravnica,272,English,,
2,Forest,Return to Ravnica,273,English,,
1,Forest,Return to Ravnica,274,English,,
1,Forest,Magic 2014 Core Set,248,English,,
1,Forest,Theros,246,English,,
2,Forest,Theros,247,English,,
1,Forest,Theros,248,English,,
2,Forest,Magic 2015 Core Set,266,English,,
2,Forest,Magic 2015 Core Set,267,English,,
1,Forest,Magic 2015 Core Set,268,English,,
2,Forest,Magic 2015 Core Set,269,English,,
4,Forest,Kaladesh,262,English,,
4,Forest,Kaladesh,263,English,,
4,Forest,Kaladesh,264,English,,
3,Forest,Amonkhet,268,English,,
1,Forest,Hour of Devastation,189,English,,
1,Forest,Hour of Devastation,198,English,,
2,Forest,Hour of Devastation,199,English,,
3,Forest,Ixalan,276,English,,
4,Forest,Ixalan,277,English,,
4,Forest,Ixalan,278,English,,
4,Forest,Ixalan,279,English,,
3,Forest,Rivals of Ixalan,196,English,,
4,Forest,Dominaria,266,English,,
3,Forest,Dominaria,267,English,,
1,Forest,Dominaria,267,English,true,
4,Forest,Dominaria,268,English,,
4,Forest,Dominaria,269,English,,
4,Forest,Core Set 2019,277,English,,
4,Forest,Core Set 2019,278,English,,
4,Forest,Core Set 2019,279,English,,
4,Forest,Core Set 2019,280,English,,
4,Forest,War of the Spark,262,English,,
4,Forest,War of the Spark,263,English,,
1,Forest,War of the Spark,264,English,,
1,Forest,Core Set 2020,277,English,,
1,Forest,Core Set 2020,278,English,,
2,Forest,Core Set 2020,279,English,,
1,Forest,Core Set 2020,280,English,,
2,Forest,Throne of Eldraine,266,English,,
1,Forest,Throne of Eldraine,267,English,,
2,Forest,Throne of Eldraine,268,English,,
1,Forest,Throne of Eldraine,269,English,,
2,Forest,Theros Beyond Death,254,English,,
1,Forest,Core Set 2021,272,English,,
1,Forest,Core Set 2021,272,English,true,
1,Forest,Core Set 2021,273,English,,
1,Forest,Zendikar Rising,278,English,,
1,Forest,Zendikar Rising,280,English,,
1,Forest,Adventures in the Forgotten Realms,279,English,,
2,Forest,Innistrad: Midnight Hunt,276,English,,
1,Forest,Innistrad: Midnight Hunt,277,English,,
2,Forest,Innistrad: Crimson Vow,276,English,,
1,Forest,Innistrad: Crimson Vow,277,English,,
2,Forever Young,Throne of Eldraine,89,English,,
1,Forget,Homelands,32,English,,
2,Forgotten Cave,Duel Decks: Merfolk vs. Goblins,59,English,,
1,Forgotten Cave,Mystery Booster,1668,English,,
2,Forgotten Sentinel,Core Set 2021,231,English,,
4,Forsaken Sanctuary,Core Set 2019,250,English,,
3,Fortified Area,Fourth Edition,276,English,,
2,Fortified Rampart,Battle for Zendikar,27,English,,
2,Fortify,Magic 2014 Core Set,19,English,,
3,Fortifying Provisions,Throne of Eldraine,13,English,,
2,Fortress Crab,Core Set 2020,60,English,,
4,Fortuitous Find,Kaladesh,81,English,,
1,Foul Familiar,Ice Age,14,English,,
3,Foul Orchard,Core Set 2019,251,English,,
2,Foul-Tongue Invocation,Iconic Masters,91,English,,
1,Foul-Tongue Shriek,Dragons of Tarkir,103,English,,
1,Foulmire Knight // Profane Insight,Throne of Eldraine,90,English,,
3,Foundry Screecher,Kaladesh,82,English,,
2,Foundry Street Denizen,Duel Decks: Merfolk vs. Goblins,38,English,,
1,Foundry Street Denizen,Gatecrash,92,English,,
2,Fountain of Renewal,Core Set 2019,235,English,,
2,Fountain of Youth,Chronicles,78,English,,
1,Fountain of Youth,The Dark,100,English,,
2,Fourth Bridge Prowler,Aether Revolt,60,English,,
1,Foxfire,Ice Age,126,English,,
1,Fractal Summoning,Strixhaven: School of Mages,187,English,,
1,Fracture,Strixhaven: School of Mages,188,English,,
4,Fragmentize,Kaladesh,14,English,,
2,Frantic Inventory,Core Set 2021,50,English,,
1,Frantic Search,Mystery Booster,386,English,,
1,Fraying Omnipotence,Core Set 2019,97,English,true,true
1,Fraying Omnipotence,Core Set 2019,97,English,,
4,Frenzied Arynx,Ravnica Allegiance,173,English,,
2,Frenzied Goblin,Masters 25,131,English,,
4,Frenzied Rage,Dominaria,124,English,,
1,Frenzied Raider,Kaldheim,137,English,,
4,Frenzied Raptor,Ixalan,146,English,,
2,Frenzied Raptor,Ikoria: Lair of Behemoths,120,English,,
4,Fresh-Faced Recruit,Guilds of Ravnica,216,English,,
1,Freyalise's Charm,Ice Age,128,English,,
4,Frilled Deathspitter,Rivals of Ixalan,104,English,,
1,Frilled Sandwalla,Hour of Devastation,116,English,,
4,Frilled Sea Serpent,Core Set 2019,56,English,,
2,Frilled Sea Serpent,Core Set 2020,61,English,,
1,Frillscare Mentor,Ikoria: Lair of Behemoths,121,English,,
5,Frogify,Throne of Eldraine,47,English,,
1,Frogmite,Mystery Booster,1587,English,,
1,Frontier Bivouac,Mystery Booster,1669,English,,
1,Frontline Devastator,Hour of Devastation,93,English,,
1,Frost Breath,Core Set 2021,51,English,,
4,Frost Lynx,Core Set 2020,62,English,,
1,Frost Lynx,Ikoria: Lair of Behemoths,51,English,,
1,Frost Trickster,Strixhaven: School of Mages,43,English,,
3,Frostveil Ambush,Ikoria: Lair of Behemoths,52,English,,
1,Frozen Shade,Unlimited Edition,18,English,,
2,Frozen Shade,Revised Edition,20,English,,
2,Frozen Shade,Fourth Edition,22,English,,
3,Fruit of Tizerus,Theros Beyond Death,96,English,,
1,Fry,Core Set 2020,140,English,,
1,Fugitive Wizard,Magic 2015 Core Set,56,English,,
3,Fully Grown,Ikoria: Lair of Behemoths,154,English,,
1,Funeral Longboat,Kaldheim,238,English,,
2,Funeral Rites,Theros Beyond Death,97,English,,
4,Fungal Infection,Dominaria,94,English,,
3,Fungal Plots,Dominaria,160,English,,
1,Furious Rise,Core Set 2021,144,English,,
2,Furnace Whelp,Iconic Masters,129,English,,
1,Furor of the Bitten,Core Set 2021,145,English,,
2,Fury Charm,Iconic Masters,130,English,,
1,Fyndhorn Brownie,Ice Age,130,English,,
1,Fyndhorn Elder,Ice Age,131,English,,
1,Fyndhorn Elves,Ice Age,132,English,,
2,Gaea's Blessing,Dominaria,161,English,,
1,Gaea's Liege,Revised Edition,105,English,,
4,Gaea's Protector,Dominaria,162,English,,
1,Gale Swooper,Core Set 2021,20,English,,
3,Galedrifter // Waildrifter,Innistrad: Midnight Hunt,55,English,,
4,Gallant Cavalry,Core Set 2019,12,English,,
1,Gallia of the Endless Dance,Theros Beyond Death,217,English,,
2,Gangrenous Zombies,Ice Age,15,English,,
4,Garenbrig Carver // Shield's Might,Throne of Eldraine,156,English,,
1,"Gargos, Vicious Watcher",Core Set 2020,172,English,true,
2,Gargoyle Sentinel,Core Set 2019,236,English,,
1,"Garna, the Bloodflame",Dominaria,194,English,,
1,Garrison Cat,Ikoria: Lair of Behemoths,14,English,,
4,Garrison Griffin,Throne of Eldraine,305,English,,
4,Garrison Sergeant,Guilds of Ravnica,172,English,,
1,"Garruk, Cursed Huntsman",Throne of Eldraine,191,English,,
3,Gaseous Form,Fourth Edition,74,English,,
1,Gate Colossus,Ravnica Allegiance,232,English,,
1,Gatecreeper Vine,Return to Ravnica,124,English,,
3,Gatekeeper Gargoyle,Guilds of Ravnica,235,English,,
3,Gates Ablaze,Ravnica Allegiance,102,English,,
4,Gateway Plaza,Guilds of Ravnica,247,English,,
4,Gateway Plaza,Ravnica Allegiance,247,English,,
1,Gateway Plaza,War of the Spark,246,English,,
1,Gauntlets of Light,Core Set 2020,17,English,,
2,Gavony Silversmith,Innistrad: Midnight Hunt,21,English,,
1,Gaze of Granite,Dragon's Maze,72,English,,
4,Gearseeker Serpent,Kaladesh,48,English,,
1,Gearshift Ace,Kaladesh,16,English,,
4,Gearsmith Guardian,Core Set 2019,237,English,,
4,Gearsmith Prodigy,Core Set 2019,57,English,,
3,Geist of the Moors,Masters 25,15,English,,
1,Geist Snatch,Avacyn Restored,55,English,,
1,Geistwave,Innistrad: Midnight Hunt,56,English,,
1,Gempalm Incinerator,Duel Decks: Merfolk vs. Goblins,39,English,,
3,Generous Stray,Guilds of Ravnica,129,English,,
4,Get the Point,Ravnica Allegiance,176,English,,
3,Geyserfield Stalker,Battle for Zendikar,111,English,,
1,Ghastbark Twins,Core Set 2019,181,English,,
2,Ghastly Gloomhunter,Zendikar Rising,103,English,,
4,Ghazbán Ogre,Chronicles,37,English,,
1,Ghirapur Gearcrafter,Magic Origins,149,English,,
1,Ghirapur Guide,Core Set 2019,182,English,,
1,Ghirapur Guide,Core Set 2019,182,English,true,
4,Ghitu Chronicler,Dominaria,125,English,,
4,Ghitu Journeymage,Dominaria,126,English,,
4,Ghitu Lavarunner,Dominaria,127,English,,
4,Ghor-Clan Wrecker,Ravnica Allegiance,103,English,,
1,Ghost Hounds,Homelands,12,English,,
3,Ghost Ship,Masters 25,60,English,,
1,Ghost Ship,Fourth Edition,75,English,,
3,Ghostfire,Duel Decks: Merfolk vs. Goblins,40,English,,
4,Ghostform,Core Set 2019,58,English,,
1,Ghostly Sentinel,Battle for Zendikar,28,English,,
1,Giant Albatross,Homelands,33,English,,
4,Giant Albatross,Homelands,34,English,,
3,Giant Growth,Masters 25,172,English,,
2,Giant Growth,Revised Edition,106,English,,
3,Giant Growth,Fourth Edition,132,English,,
1,Giant Growth,Return to Ravnica,125,English,,
2,Giant Growth,Magic 2014 Core Set,174,English,,
3,Giant Growth,War of the Spark,162,English,,
1,Giant Killer // Chop Down,Throne of Eldraine,14,English,,
1,Giant Killer // Chop Down,Throne of Eldraine,275,English,,
2,Giant Mantis,Battle for Zendikar,173,English,,
1,Giant Ox,Kaldheim,11,English,true,
2,Giant Ox,Kaldheim,11,English,,
1,Giant Shark,The Dark,28,English,,
3,Giant Slug,Chronicles,5,English,,
4,Giant Spectacle,Kaladesh,116,English,,
1,Giant Spider,Unlimited Edition,107,English,,
1,Giant Spider,Revised Edition,107,English,,
3,Giant Spider,Fourth Edition,133,English,,
2,Giant Spider,Magic 2014 Core Set,175,English,,
1,Giant Spider,Amonkhet,166,English,,
4,Giant Spider,Core Set 2019,183,English,,
3,Giant Tortoise,Fourth Edition,76,English,,
2,Giant's Skewer,Throne of Eldraine,91,English,,
1,"Gideon, the Oathsworn",War of the Spark,265,English,true,
2,Gideon's Battle Cry,War of the Spark,267,English,,
3,Gideon's Company,War of the Spark,268,English,,
2,Gideon's Reproach,Battle for Zendikar,30,English,,
1,Gideon's Reproach,Dominaria,19,English,true,
4,Gideon's Reproach,Dominaria,19,English,,
2,Gideon's Sacrifice,War of the Spark,14,English,,
2,Gideon's Triumph,War of the Spark,15,English,,
1,Gift Horse,Unstable,183,English,,
1,Gift of Fangs,Innistrad: Crimson Vow,113,English,,
4,Gift of Growth,Dominaria,163,English,,
1,Gift of Paradise,Amonkhet,167,English,true,
1,Gift of Paradise,Amonkhet,167,English,,
4,Gift of Paradise,Core Set 2020,173,English,,
2,Gift of Strength,Hour of Devastation,117,English,,
4,Gift of Strength,Ravnica Allegiance,127,English,,
3,Gift of Strength,Theros Beyond Death,171,English,,
1,Gift of Tusks,Oath of the Gatewatch,55,English,,
3,Gilded Cerodon,Hour of Devastation,94,English,,
1,Gilded Goose,Throne of Eldraine,160,English,,
1,Gilded Lotus,Dominaria,215,English,,
4,Gilded Sentinel,Ixalan,239,English,,
4,Giltgrove Stalker,Rivals of Ixalan,131,English,,
3,Gingerbread Cabin,Throne of Eldraine,245,English,,
1,"Gisa, Glorious Resurrector",Innistrad: Midnight Hunt,103,English,,
1,Gisa's Bidding,Shadows over Innistrad,114,English,,
2,Glacial Chasm,Ice Age,331,English,,
1,Glacial Crevasses,Ice Age,187,English,,
1,Glacial Floodplain,Kaldheim,257,English,,
1,Glacial Grasp,Zendikar Rising,59,English,,
2,Gladecover Scout,Magic 2014 Core Set,176,English,,
1,Glaring Aegis,Mystery Booster,121,English,,
4,Glaring Aegis,Core Set 2020,18,English,,
4,Glassblower's Puzzleknot,Kaladesh,217,English,,
2,Glasses of Urza,Fourth Edition,339,English,,
2,Gleam of Battle,Dragon's Maze,73,English,,
1,Gleam of Resistance,Conspiracy: Take the Crown,87,English,,
4,Gleaming Barrier,Rivals of Ixalan,178,English,,
1,Glimpse of Freedom,Theros Beyond Death,50,English,,
4,Glint-Sleeve Artisan,Kaladesh,17,English,,
1,Glissa's Courier,Mirrodin Besieged,80,English,,
2,Gloom,Fourth Edition,23,English,,
1,Gloom Pangolin,Ikoria: Lair of Behemoths,89,English,,
1,Gloom Sower,Core Set 2021,100,English,,
1,Gloom Stalker,Adventures in the Forgotten Realms,16,English,,
4,Glowspore Shaman,Guilds of Ravnica,173,English,,
1,Glowstone Recluse,Ikoria: Lair of Behemoths,156,English,,
2,Gnarled Sage,Core Set 2021,187,English,,
2,Gnarlid Colony,Zendikar Rising,185,English,,
1,Gnawing Zombie,Modern Masters 2017 Edition,71,English,,
1,Gnoll Hunter,Adventures in the Forgotten Realms,185,English,,
1,Gnoll Hunter,Adventures in the Forgotten Realms,326,English,,
1,Gnottvold Recluse,Kaldheim,172,English,,
2,Gnottvold Slumbermound,Kaldheim,258,English,,
1,Go Blank,Strixhaven: School of Mages,72,English,,
2,Go for Blood,Ikoria: Lair of Behemoths,122,English,,
